,사이트,검색 키워드,기업이름,포지션이름,포지션이름 전처리,마감일,상시 채용 여부,경력_min,경력_max,학력,학력 세부정보,제출서류,채용절차,채용형태_전처리,근무시간,근무장소 시,근무장소 구,근무형태,Hard Skill,Soft Skill,Tool,hard plus,soft plus,tool plus,산업군 전처리,설립,사원 수,기업 평균 연봉,기업 유형 전처리,기업 유형 전처리 _세부,매출액,,접수방법,총점,복지 및 급여,업무와 삶의 균형,사내문화,승진 기회,경영진,기업추천율,CEO 지지율,성장 가능성,하이라이트+태그,퇴사,입사,링크
108,잡플래닛,데이터 분석가,쿠팡,Business Analyst,비즈니스 분석가,2024.4.21,1,3,8,999,999,999,"서류전형 - SQL Test and/or 전화면접 - 화상면접 – 최종 합격
 전형 절차는 직무별로 다르게 운영될 수 있으며, 일정 및 상황에 따라 변동될 수 있습니다. 
 전형 일정 및 결과는 지원서에 등록하신 이메일로 개별안내드립니다. 
 참고 사항
 본 공고는 모집 완료 시 조기 마감될 수 있습니다.
 고용형태는 정규직으로 수습기간 12주를 포함합니다.",정규직,999,서울,송파,999,"데이터 분석, 데이터 시각화 대시보드 구축, 비즈니스 분석","빠른 판단력, 멀티태스킹, 우선순위 설정, 비즈니스 인텔리전스 리포팅, 경력 3년","SQL, Tableau, Power BI","이커머스, 인터넷 서비스, 프로그램이 언어",경력,"Python, R",이커머스,2013,10485,"4,898",대기업,999,"30조 6,640억 300만원",,999,3.2,3,3.1,3.2,2.8,2.7,47,57,43,"연봉 업계 평균 이상, 수평적인 기업 문화, 퇴사율 10% 이하 ,스타트업
 
 연봉업계평균이상
 
 10,001명이상
 
 설립10년이상
 
 퇴사율5%이하
 
 IT, 컨텐츠",12878,5708,https://www.jobplanet.co.kr/job/search?posting_ids%5B%5D=1264639
109,잡플래닛,데이터 분석가,아임웹,Data Analyst,데이터 분석가,2024.4.22,1,4,10,999,,999,*Data Analyst 포지션은 기술 역량을 확인하기 위한 코딩 테스트를 진행해요.,정규직,999,서울,강남,999,"데이터 분석, 기초 통계학, 데이터 전처리, 이커머스 데이터 분석, SaaS, GMV, MRR, LTV, Cohort, Retention","논리적 사고, 분석적 사고, 분석 방법론, 액션 도출, 의사결정 능력, 비즈니스적 관점, 커뮤니케이션","SQL, Python","데이터 시각화, PA Tool 활용, 데이터 엔지니어링, 대용량 데이터 분산 처리, 빅데이터, 빅데이터 분석, 클라우드 환경, 사용자 행동 로그, App/Web 서비스 데이터, 데이터 파이프라인 구축, 머신러닝, 딥러닝, DAG 작성",999,"Mixpanel, Amplitude, Tableau, Redash, Superset, Airflow, Kafka, DataHub, Databricks, Google Analytics, SQL, Scalar, Pyspark",이커머스,2013,108,"5,447",중소기업,999,"168억 7,823만원",,999,3.2,3.3,4.1,3.1,2.9,2.7,46,57,46,"연봉 업계 평균 이상, 지속 성장중인 기업, 자유로운 휴가 ,커피
 
 음료
 
 간식
 
 리프레시휴가
 
 연봉업계평균이상
 
 인원급성장
 
 51~300명
 
 설립10년이상
 
 IT, 컨텐츠",40,53,https://www.jobplanet.co.kr/job/search?posting_ids%5B%5D=1265137
110,잡플래닛,데이터 분석가,데이터라이즈,Data Analyst,데이터 분석가,2024.5.29,1,3,999,999,,999,서류 검토 → 과제 전형 → 기술 인터뷰 → 컬처핏 인터뷰 → 최종 합격,정규직,999,서울,강남,999,"데이터 분석, 데이터 웨어하우스, 데이터 마트, 대시보드 구축, 데이터 시각화, 데이터 적재, 데이터 가공, 데이터 전처리, 정량적 분석, Funnel 분석, 코호트 분석,A/B 테스트, 이커머스 분석, 모델링, 머신러닝, 데이터 설계, 서비스 분석","논리적 사고, 커뮤니케이션, 액션 도출, 인사이트 도출, 분석 방법론, 문제 정의, 문제해결 능력, Dat","Python, Tableau, Superset, Redash",999,999,999,컨설팅,2019,43,7410,중소기업,비상장,6억 691만원,,999,4,4,3.7,3.3,3.3,3.7,67,100,67,999,13,13,https://www.jobplanet.co.kr/job/search?posting_ids%5B%5D=1255433
111,"잡플래닛, 잡코리아",데이터 분석가,핏펫(Fitpet),Product Data Analyst,프로덕트 데이터 분석가,2024.6.20,1,2,10,학력 무관,999,"이력서, 포트폴리오","서류접수 > 1차 직무 인터뷰 > 2차 컬처핏 인터뷰 > 처우협의 > 최종합격
 * 필수 제출 서류 : 자유 양식의 이력서 또는 경력기술서(PDF 형식 권장)
 * 지원하는 포지션에 따라 레퍼런스 체크, 과제 또는 코딩 테스트 전형이 추가될 수 있습니다.
 * 리더 포지션의 경우 추가 면접이 진행될 수 있습니다.",정규직,주5일 (월~금) 09:00~18:00,서울,강남,999,"데이터 분석, 데이터 가공, App/Web 서비스 데이터, 사용자 행동 로그, 데이터 시각화, 대시보드 구축","커뮤니케이션, 액션 도출, 결과 해석, 문제정의, 경력 2년",SQL,"데이터 시각화, 데이터베이스, 클라우드 환경, 플랫폼 서비스",플랫폼 서비스에 대한 이해,"Amplitude, Mixpanel, GA/GTM, Braze, Redash, BiqQuery, Tableau,",애견,2017,200,6032,중소기업,비상장,239억 2천만원,,홈페이지 지원,3.5,3.7,3.5,3.4,3.4,3,62,66,59,999,51,43,https://www.jobplanet.co.kr/job/search?posting_ids%5B%5D=1270062
112,잡플래닛,데이터 분석가,모요,Data Analyst (데이터 분석가),데이터 분석가,2024.6.10,1,3,10,999,,999,서류 전형 → 쿼리 테스트(SQL) 및 실무 인터뷰 → 컬쳐 인터뷰 → 레퍼런스 체크 및 처우 협의 → 최종 합격 및 입사,정규직,999,서울,강남,999,"프로덕트 데이터 분석, 데이터 전처리","논리적 사고, 분석적 사고, 문제 정의, 가설 수립, 인사이트 도출, 커뮤니케이션, 경력 3년",SQL,"데이터 분석, A/B 테스트, 데이터 시각화, 클라우드 환경, 대시보드 구축","협업 능력, 커뮤니케이션","AWS, GCP, Amplitude, Mixpanel, Tableau, Redash, QuickSight",통신,2021,36,5416,스타트업,999,"3,301.6만원",,999,5,5,3.7,5,5,5,100,100,100,999,9,25,https://www.jobplanet.co.kr/job/search?posting_ids%5B%5D=1250480
113,잡플래닛,데이터 분석가,콘센트릭스서비스코리아CATALYST,SEO Consultant,SEO 컨설턴트,2024.6.30,1,1,10,999,999,999,"서류전형->1차면접->2차면접->최종합격
 * 단계별 합격자에 한해 개별 연락 드리고 있습니다.
 * 1차/2차 면접 후 인성검사를 실시할 수 있습니다.
 * 화상 인터뷰와 대면 인터뷰를 함께 실시하고 있습니다.",정규직,999,서울,강남,999,"데이터 분석, 디지털 마케팅","이슈 해결, 성과 분석, 전략 구축","Microsoft Office, Excel",999,"커뮤니케이션, 협업 능력, 능동적, 적극성, 책임감, 호기심, 학습 의지, 도전 정신",999,마케팅,2014,"1,327","3,962",중소기업,999,"1,266억 9,932만원",,999,2.5,2.3,2.8,2.6,2.6,2.1,24,32,18,"수평적인 기업 문화, 퇴사율 10% 이하, 다양한 근무 지원 제도 운영 ,",1068,1118,https://www.jobplanet.co.kr/job/search?posting_ids%5B%5D=1270831
114,잡플래닛,데이터 분석가,샌즈랩,코드분석팀_팀장급,코드 분석가,2024.8.2,0,6,999,999,999,999,"1.서류 전형
 2.1차 면접( 인성/직무면접)
 3. 최종 합격",정규직,999,경기,과천,999,"악성코드 분석, 취약점 분석","논리적 사고, 커뮤니케이션, 협업 능력, 경력 6년",없음,"관련 자격증, 정보보호, 보안, 자체 분석 기술","프로젝트 경험, 보안 컨퍼런스 발표 경험, 정보보호 관련 전문 교육 수료",999,정보 보안,2004,39,4674,스타트업,999,"117억 2,191만원",,999,2.2,2.4,2,2.5,2.4,2,19,38,26,999,999,999,https://www.jobplanet.co.kr/job/search?posting_ids%5B%5D=1272031
115,잡플래닛,데이터 분석가,캐롯손해보험(주),서비스기획팀 프로덕트 데이터 오너,프로덕트 데이터 오너,2024.5.7,1,3,8,999,,999,999,정규직,근무시간 : 오전 8 ~ 10시 사이에 자유롭게 출근,서울,중,999,"GA, 데이터 수집, 데이터 설계","논리적 사고, IT 유관기업 경험, 경력 3~7년","GTM (Google Tag Manager), JavaScript, Google Analytics","데이터 수집, 데이터 추출, 금융","협업 능력, 개발 지식, 커뮤니케이션","SQL, Google Big Query",금융,2019,354,6181,대기업,999,"4,425억 3,032만원",,999,3.4,3.3,3.9,3.2,3.1,2.5,54,48,42,999,66,107,https://www.jobplanet.co.kr/job/search?posting_ids%5B%5D=1266192
116,잡플래닛,데이터 분석가,쿠팡,Sr. HR Business Analytics Specialist (HR),비즈니스 분석가,2024.6.17,1,3,8,학사,999,999,서류전형 - 전화인터뷰 - 화상(대면)면접 – 최종 합격,정규직,999,서울,송파,999,"HR 분석, 비즈니스 분석, 비정형 데이터, 비정형 데이터 처리","디테일 지향성, 성과 중심성, 자율 동기 부여, 협업 능력, 논리적 사고, 인사이트 도출, 학사, 경력 3년",SQL,"데이터 처리, 데이터 시각화, 자동화, HR 솔루션 플랫폼, DPA 도구 사용","high-demand 환경 경험, 데이터 정확성 추구, 영어로 소통, 커뮤니케이션, 협업 능력","Power BI, Tableau, Power Automate, Greenhouse, Workday",이커머스,2013,10485,"4,898",대기업,999,"30조 6,640억 300만원",,999,3.2,3,3.1,3.2,2.8,2.7,47,57,43,"연봉 업계 평균 이상, 수평적인 기업 문화, 퇴사율 10% 이하 ,스타트업
 
 연봉업계평균이상
 
 10,001명이상
 
 설립10년이상
 
 퇴사율5%이하
 
 IT, 컨텐츠",12878,5708,https://www.jobplanet.co.kr/job/search?posting_ids%5B%5D=1269534
117,잡플래닛,데이터 분석가,모비데이즈,[마케팅사업부문] 데이터팀 팀원,데이터 분석가,2024.6.22,1,2,3,999,,999,서류검토 -＞ (티타임) -＞ 1차 면접 -＞ 2차면접 -＞ 처우협의 -＞ 입사,정규직,999,서울,강남,999,"데이터 분석, 비즈니스 분석, 데이터 시각화, 대시보드 구축, 데이터 정제, 데이터 가공","논리적 사고, 분석적 사고, 문제 정의, 인사이트 도출, 커뮤니케이션, 협업능력, 경력 2넌",SQL,"Salesforce 운영, 데이터 시각화, 대용량 데이터 분산처리, 빅데이터, 빅데이터 분석",999,Tableau,마케팅,2020,171,3748,중소기업,999,161억,,999,2.8,2.3,2.3,3.1,3.3,2.4,35,40,27,999,100,88,https://www.jobplanet.co.kr/job/search?posting_ids%5B%5D=1270018
118,"잡플래닛, 사람인",데이터 분석가,콘센트릭스서비스코리아CATALYST,GA/AA데이터 분석(사원대리과장급),GA/ AA 데이터 분석가,2024.6.2,1,1,10,학력 무관,999,999,서류전형 - 1차면접 - 2차면접 - 최종합격,정규직,주 5일(월~금) 09:00~18:00,서울,강남,999,"데이터 분석, 퍼포먼스 마케팅, GA, Adobe Analytics, 데이터 구조, Excel","능동적인 마인드, 커뮤니케이션, 디지털 광고 및 캠페인에 대한 이해, 영어로 소통","SQL, Excel, Microsoft Office, Google Analytics",999,999,999,마케팅,2014,"1,327","3,962",중소기업,999,"1,269억 9,932만원",,사람인 지원,2.5,2.3,2.8,2.6,2.6,2.1,24,32,18,"수평적인 기업 문화, 퇴사율 10% 이하, 다양한 근무 지원 제도 운영 ,",1068,1118,https://www.jobplanet.co.kr/job/search?posting_ids%5B%5D=1267923
119,잡플래닛,데이터 분석가,드림어스컴퍼니,검색 운영 담당자,검색 운영 담당자,2024.6.14,0,3,11,[우대] 관련 학사,IT,999,999,정규직,999,서울,서초,999,"데이터베이스, 검색 시스템, 데이터 구조, 데이터 추출, 검색운영 기획, 플랫폼 서비스","논리적 사고, 인사이트 도출, 커뮤니케이션, 경력 3년",없음,999,"관련 전공, 관련 자격증","SQL, MySQL",엔터테인먼트,1999,342,5652,대기업,999,2396.1억,,999,2.7,2.3,3.5,3,2.5,2.3,34,41,18,"인원급성장
퇴사율5%이하
301~1,000명
설립10년이상
대출지원
건강검진
통신비
재택근무
연봉상위11~20%
IT, 컨텐츠",72,78,https://www.jobplanet.co.kr/job/search?posting_ids%5B%5D=1269367
120,잡플래닛,데이터 분석가,미리디,데이터 챕터 리드,데이터 분석가,2024.5.1,1,6,15,[우대] 관련 학사,통계,999,"⦁ [서류전형]-[1차인터뷰]-[2차인터뷰]-[처우협의]-[입사] 의 프로세스로 진행됩니다.
 ⦁ 서류는 원활한 검토를 위해 PDF 형식으로 제출 부탁 드립니다.
 ⦁ 2차 인터뷰의 경우, 직무/직급에 따라 생략될 수 있습니다.
 ⦁ 직무에 따라 코딩테스트, 과제 전형이 추가될 수 있습니다.
 ⦁ 직무/직급 관계없이 입사 후 3개월의 수습 기간 및 수습 평가가 진행됩니다. (급여 100%)
 ⦁ 서류 전형 결과 안내까지는 최대 2주, 인터뷰 결과 안내까지는 최대 3주가 소요됩니다.
 ⦁ 여러 포지션 동시 지원은 가능하지만 동일한 포지션의 경우 최종 결과 안내를 받은 시점으로부터 6개월 후에 재지원이 가능합니다",정규직,999,서울,구로,999,"데이터 분석, 데이터 처리, 대시보드 구축, 데이터 시각화, 코드 작성","팀 리딩, 논리적 사고, 경력 6년","SQL, Tableau, Microsoft Office, Excel, Google Data Studio, Google Sheets, Python, R","데이터 분석, 통계 분석, 통계, 온라인 광고 플랫폼, 머신러닝, 딥러닝, 모델링","팀 리딩, 프로젝트 리딩, 인사이트 도출, 액션 도출, 문제해결 능력, 통계 전공",999,응용 소프트웨어 개발,2008,282,4111,스타트업,999,"330억 9,757만원",,999,3.2,2.9,3.6,3.6,3,3,48,65,45,999,92,156,https://www.jobplanet.co.kr/job/search?posting_ids%5B%5D=1265930
121,잡플래닛,데이터 분석가,아슈리온코리아(유),Program Risk Manager,프로그램 리스크 매니저,2024.6.17,1,8,12,999,999,999,"1차 서류리뷰 - 이력서 및 자기소개서 확인
 2차 대면 혹은 화상면접 - 담당 매니저 및 유관부서 매니저
 3차 대면 혹은 화상면접 - 부서장 및 인사팀 면접
 최종 결과 발표",정규직,999,서울,종로,999,"SQL 고급 능력, 데이터 수집, 데이터 가공, 데이터 분석, 비즈니스 분석, 사기 탐지, 재무, 보험, 리스크 관리","논리적 사고, 커뮤니케이션, 영어로 소통, 독립적, 협업 능력, 방향성 제시, 문제 해결 능력, 문제 정의","SQL, Microsoft Office, Excel",999,999,999,응용 소프트웨어 개발,999,97,6642,중소기업,999,999,,999,3.2,4.1,3.7,3.2,2.8,2.9,51,67,29,999,999,999,https://www.jobplanet.co.kr/job/search?posting_ids%5B%5D=1269546
122,잡플래닛,데이터 분석가,넥슨코리아,데이터 분석가 (개인화 콘텐츠),데이터 분석가,2024.5.28,1,2,7,[우대] 관련 학사,"통계, 머신러닝, 딥러닝",999,서류전형 → *코딩테스트 → 면접전형 → 최종합격,정규직,999,경기,성남,999,"사용자 행동 로그, 데이터 가공","게임 플레이 경험, 게임 및 게임 유저에 대한 이해도","Python, SQL","데이터 분석, App/Web 서비스 데이터, 사용자 행동 로그, 통계, 머신러닝, 딥러닝, 모델링, 게임 데이터","프로젝트 경험, 관련 전공, 분석 프로세스 경험, 경력 2년",999,게임,2005,"3,756",6082,대기업,999,1.9조원,,999,3.8,3.7,3.6,3.8,3.3,2.9,76,59,38,"연봉 업계 평균 이상, 지속 성장중인 기업, 퇴사율 10% 이하, 보육시설
 
 어학교육
 
 사내식당
 
 동호회
 
 인공지능
 
 연봉상위6~10%
 
 인원급성장
 
 1,001~10,000명
 
 설립10년이상
 
 퇴사율5%이하
 
 셔틀버스
 
 IT, 컨텐츠",476,641,https://www.jobplanet.co.kr/job/search?posting_ids%5B%5D=1267634
123,"잡플래닛, 사람인",데이터 분석가,콘센트릭스서비스코리아CATALYST,데이터 분석 (태깅),데이터 분석가,2024.5.16,1,1,15,학력 무관,,"이력서, 자기소개서","서류전형->1차면접->2차면접->최종합격
 * 단계별 합격자에 한해 개별 연락 드리고 있습니다.",정규직,주 5일(월~금) 09:00~18:00,서울,강남,999,데이터 분석,"적극적이고 능동적인 마인드, 커뮤니케이션, 영어로 소통, 신입","Google Analytics, Adobe Analytics, Excel, Microsoft Office","웹사이트 기획, 운영, App/Web 서비스 데이터",App/Web의 구조 이해,"Google Analytics, Adobe Analytics, Jira,  Confluence, CMS",마케팅,2014,"1,327","3,962",중소기업,999,"1,269억 9,932만원",,"사람인 지원, 이메일 지원",2.5,2.3,2.8,2.6,2.6,2.1,24,32,18,"수평적인 기업 문화, 퇴사율 10% 이하, 다양한 근무 지원 제도 운영 ,",1068,1118,https://www.jobplanet.co.kr/job/search?posting_ids%5B%5D=1263709
124,잡플래닛,데이터 분석가,알체라,ML 연구원/Engineer (이상상황 감지),ML 엔지니어,2024.6.2,1,0,0,석사,999,999,서류 전형 - Job Fit Interview - Culture Fit Interview - 처우 협의 - 채용 검진 - 최종 입사,정규직,999,경기,성남,999,"ML, DL, 머신러닝, 딥러닝, 모델링, 코딩","논문 리딩, 세미나, 기본 코딩, 포트폴리오","mmdet, detectron2, pytorch, tensorflow","머신러닝, 모델링","CVPR, ICCV, ECCV, 해외 학회/저널 논문 보유, 관련 전공, 박사, 경력",999,응용 소프트웨어 개발,2016,226,4557,중소기업,999,100억,,999,2.9,2.7,3,3,2.8,2.6,37,48,28,999,365,337,https://www.jobplanet.co.kr/job/search?posting_ids%5B%5D=1255674
125,잡플래닛,데이터 분석가,번개장터,Senior Data Analyst (팀 리드),데이터 분석가,2024.6.26,1,8,20,999,,999,서류 전형 > 1차 인터뷰 > 2차 인터뷰 > 최종 합격,정규직,999,서울,서초,999,"데이터 분석, 비즈니스 분석, 그로스해킹, 데이터 시각화, 통계, 데이터 전처리, 데이터 가공, 대시보드 구축","팀 리딩, 리더십, 커뮤니케이션, 문제 해결, 인사이트 도출, 가설 검증,","SQL, Python, R, Redash, Tableau, BI","지표 설정, 중고거래, 이커머스, A/B 테스트, 데이터 분석","프로젝트 주도 경험, 통계적 사고, 스타트업 경험, 프로젝트 경험, 문제 해결 능력","AWS Athena, Redshift, Google Analytics, Tableau, Redash, Jupyter",이커머스,2011,186,5847,스타트업,999,"304억 7,517만원",,999,3.5,3,3.9,3.5,3.2,3,59,62,41,"연봉 업계 평균 이상, 수평적인 기업 문화, 퇴사율 10% 이하 ,음료
 
 간식
 
 건강검진
 
 세미나참가비
 
 재택근무
 
 스타트업
 
 인공지능
 
 연봉업계평균이상
 
 51~300명
 
 설립10년이상
 
 퇴사율5%이하
 
 IT, 컨텐츠",103,71,https://www.jobplanet.co.kr/job/search?posting_ids%5B%5D=1270403
126,잡플래닛,데이터 분석가,아이나비시스템즈,GIS DB 및 컨텐츠(POI) 구축 담당자 모집,"GIS DB, 컨텐츠 구축(POI)",2024.6.4,0,1,999,999,999,"이력서 및 자기소개서 : 온라인 양식(희망연봉 기재), 포트폴리오(해당시)",서류 전형 > 1차 실무 인터뷰 > 2차 컬쳐핏 인터뷰 > 최종 합격,정규직,999,경기,성남,999,"데이터 분석, 공간 정보, 데이터 베이스","원만한 대인 관계, 커뮤니케이션, 신입",없음,"GIS DB 구축, 내비게이션 데이터, 프로그래밍 툴","내비게이션 데이터 이해, 관련 자격증, 관련 전공"," QGIS, SQL, Python",응용 소프트웨어 개발,1998,182,4547,중소기업,999,"115억 2,112만원",,999,2.9,2.1,3.4,3,2.8,2.5,34,39,17,999,46,68,https://www.jobplanet.co.kr/job/search?posting_ids%5B%5D=1255652
127,"잡플래닛, 워크넷",데이터 분석가,핀다,데이터 분석가,데이터 분석가,2024.5.27,1,5,15,학력 무관,,"이력서, 자기소개서, 포트폴리오",서류 전형 > 1차 인터뷰 > 2차 인터뷰 > 3차 인터뷰 > 레퍼런스 체크 > 처우 협의 > 최종 합격,정규직,999,서울,강남,999,"데이터 분석, 데이터 추출, 통계","분석적 사고, 문제 정의, 가설 검증, 인사이트 도출, 경력 7년","Python, SQL, Tableau, Git","핀테크 서비스, 데이터 분석, 모델링, 머신러닝, 딥러닝, 대출 관련 분석, 데이터 시각화",서비스 개선 경험, Tableau,금융,2015,146,5787,중소기업,999,434억,,홈페이지 지원,3.7,3.3,3.7,3.5,3.5,3.4,51,59,49,"연봉 업계 평균 이상, 일한만큼 받는 보상, 수평적인 기업 문화 ,커피
 
 건강검진
 
 택시비
 
 재택근무
 
 스타트업
 
 산업기능요원
 
 성과급
 
 스톡옵션
 
 연봉상위11~20%
 
 51~300명
 
 설립4~9년
 
 퇴사율5%이하
 
 금융",49,31,https://www.jobplanet.co.kr/job/search?posting_ids%5B%5D=1267600
128,잡플래닛,데이터 분석가,하이퍼커넥트,Corporate Data Analyst,데이터 분석가,2024.6.6,1,7,12,"[우대] 관련 석사,박사",,자유 양식의 상세 경력기반 국문 또는 영문이력서(PDF),서류전형 > Recruiter Call > 1차 면접 > 2차 면접 > 3차면접(해당 시) > 최종 합격,정규직,999,서울,강남,999,"데이터 분석, 빅데이터, 데이터 시각화, 머신러닝, 모델링, 마케팅, 재무","커뮤니케이션, 통찰력, 인사이트 도출, 영어로 소통, 경력 7년","SQL, Python, Tableau","통계, 데이터 분석, 최적화, 머신러닝, 모델링, 딥러닝","관련 전공, 석사, 박사","BigQuery, Airflow",응용 소프트웨어 개발,2014,341,6032,대기업,999,1819.5억,,999,3.2,3.6,3.8,3.2,3,2.3,54,44,31,999,105,90,https://www.jobplanet.co.kr/job/search?posting_ids%5B%5D=1268605
129,잡플래닛,데이터 분석가,피알원,데이터 애널리스트(리서쳐) 경력직,데이터 분석가,2024.5.21,1,1,6,대졸(4년),,999,서류전형 > 1차 면접 > 2차 면접 > 최종 합격,정규직,999,서울,서대문,999,"데이터 마이닝, 데이터 분석, 빅데이터, 사회통계분석","조사설계, 논리적 사고, 분석적 사고, 문제 정의, 가설 검증, 인사이트 도출",없음,999,"대형 리서치펌, 빅데이터 관련 기업 경력 보유",999,마케팅,2008,193,4610,중소기업,999,322.6억,,999,2.9,3,2.2,2.9,3.2,2.5,46,54,15,"연봉업계평균이상
인원급성장
퇴사율 6~10%
51~300명
설립10년이상
직무교육
기타 서비스업",68,75,https://www.jobplanet.co.kr/job/search?posting_ids%5B%5D=1267143
130,잡플래닛,데이터 분석가,쿠팡,CS 교육기획 및 데이터분석 전문가 (CS Learning & Development),데이터 분석가,2024.6.17,1,5,10,999,,999,서류전형 - 전화면접 - 대면(화상)면접 – 최종 합격,정규직,999,서울,송파,999,"교육 프로그램 기획, CS 서비스 기획, 프로젝트 관리, 데이터 분석, 데이터 수집, 비즈니스 분석","문제 정의, 가설 검증, 인사이트 도출, 경력 5년",없음,"데이터 시각화, 데이터 분석","서비스 개선, 프로젝트 경험","Tableau, Power BI",이커머스,2013,10485,"4,898",대기업,999,"30조 6,640억 300만원",,999,3.2,3,3.1,3.2,2.8,2.7,47,57,43,"연봉 업계 평균 이상, 수평적인 기업 문화, 퇴사율 10% 이하 ,스타트업
 
 연봉업계평균이상
 
 10,001명이상
 
 설립10년이상
 
 퇴사율5%이하
 
 IT, 컨텐츠",12878,5708,https://www.jobplanet.co.kr/job/search?posting_ids%5B%5D=1269452
131,잡플래닛,데이터 분석가,쿠팡,로켓배송 재고기획 분석 전문가 (OHL Instock Planning),데이터 분석가,2024.6.17,1,5,10,학사,,역량과 성과 중심의 영문/국문 이력서 1부 제출 (※ 영문 이력서 필수),서류전형 - 전화면접 - 대면(화상)면접 – 최종 합격,정규직,999,서울,송파,999,"SQL 중급 능력, 데이터 분석, 비즈니스 분석, 지표 설정, 통계,","유연성, 적응력, 커뮤니케이션, 가설 검증, 인사이트 도출, 학사, 경력 5년",없음,"리테일, 이커머스, 데이터 분석, 프로덕트 분석","영어로 소통, 자기 주도적, 적극성, 문제 해결 능력",999,이커머스,2013,10485,"4,898",대기업,999,"30조 6,640억 300만원",,999,3.2,3,3.1,3.2,2.8,2.7,47,57,43,"연봉 업계 평균 이상, 수평적인 기업 문화, 퇴사율 10% 이하 ,스타트업
 
 연봉업계평균이상
 
 10,001명이상
 
 설립10년이상
 
 퇴사율5%이하
 
 IT, 컨텐츠",12878,5708,https://www.jobplanet.co.kr/job/search?posting_ids%5B%5D=1269439
132,"잡플래닛, 링크드인",데이터 분석가,쿠팡,Staff Data Analyst (Coupang Play),데이터 분석가,2024.6.17,1,8,13,관련 학사,"컴퓨터 과학, 정보 시스템 학사/학사 학위 또는 비즈니스 인텔리전스, 데이터 분석, 데이터 과학 , 데이터 엔지니어링","이력서, 포트폴리오",서류전형 > 기술면접 > 비대면면접 > 처우협의,정규직,풀타임,서울,송파구/재,999,"데이터 분석, 데이터 사이언스, 데이터 엔지니어링, 비정형 데이터, 데이터 마트, 데이터 파이프라인, 데이터 시각화, 대시보드 구축","팀 리딩, 독립적, 문제 해결 능력, 멀티태스킹, 프로젝트 관리, 빠른 환경, 이공계열 학위, 경력 8년","Airflow, Hive, Presto, PowerBI, Tableau, Cognos, Business Objects, QlikView","모델링, 머신러닝, 딥러닝, 스키마 디자인, OTT 비디오 스트리밍, 통계, 데이터 분석","OTT 산업에 대한 경험, 학습의지, 영어로 소통","Python, R, SAS, MATLAB",이커머스,2013,10485,"4,898",대기업,999,20.3조,,999,3.2,3,3.1,3.2,2.8,2.7,47,57,43,"연봉 업계 평균 이상, 수평적인 기업 문화, 퇴사율 10% 이하 ,스타트업
 
 연봉업계평균이상
 
 10,001명이상
 
 설립10년이상
 
 퇴사율5%이하
 
 IT, 컨텐츠",12878,5708,"https://www.jobplanet.co.kr/job/search?posting_ids%5B%5D=1269527, https://www.linkedin.com/jobs/search/?currentJobId=3837554791&distance=25&geoId=105149562&keywords=data%20analyst&origin=JOBS_HOME_KEYWORD_HISTORY&refresh=true"
133,잡플래닛,데이터 분석가,바비톡,Data Analyst (Senior),데이터 분석가,2024.6.12,1,7,12,999,,999,서류 전형 → 1차 실무/컬처 인터뷰 → 2차 인터뷰 → 처우 협의 → 입사,정규직,999,서울,강남,999,"데이터 분석, 빅데이터, Funnel 분석, 코호트 분석, Retention,  A/B 테스트, 클라우드 환경, CLV, App/Web 서비스 데이터, 사용자 행동 로그, 통계","커뮤니케이션, 문제 정의, 가설 검증, 분석 방법론, 인사이트 도출, 경력 7년","SQL, Amazon Athena, Google BigQuery, Amazon Redshift, Snowflake, Amplitude, Google Analytics, Firebase","데이터 시각화, 데이터 분석, 빅데이터, 데이터 적재, 데이터 가공","스타트업 경험, Agile한 조직 경험","Tableau, Amazon Quicksight, Python, R, Spark",의료,2014,77,6302,중소기업,999,"223억 5,455만원",,999,3.5,3.7,3.5,3.5,3,2.7,57,62,38,999,999,999,https://www.jobplanet.co.kr/job/search?posting_ids%5B%5D=1269248
134,"잡플래닛,잡코리아",데이터 분석가,넥슨코리아,데이터 분석가 (게임 이상탐지),데이터 분석가,2024.5.28,1,0,0,학력 무관,,이력서,서류전형 → *과제전형 → 면접전형 → 최종합격,정규직,주 5일제,경기,성남,999,"데이터 분석, Feature Engineering, 모델링, 머신러닝, 통계, 데이터 처리, 프로그래밍 언어","논리적 사고, 분석적 사고, 가설 검증, 인사이트 도출, 자기 동기부여","SQL, Python","통계, 머신러닝, 데이터 분석, 모델링, 이상 탐지","서비스 개선 경험, 개발 경험",999,게임,1994,"3,756","6,082",대기업,비상장,3조 9000억,,홈페이지 지원,3.8,3.7,3.6,3.8,3.3,2.9,76,59,38,"연봉 업계 평균 이상, 지속 성장중인 기업, 퇴사율 10% 이하, 보육시설
 
 어학교육
 
 사내식당
 
 동호회
 
 인공지능
 
 연봉상위6~10%
 
 인원급성장
 
 1,001~10,000명
 
 설립10년이상
 
 퇴사율5%이하
 
 셔틀버스
 
 IT, 컨텐츠",476,641,https://www.jobplanet.co.kr/job/search?posting_ids%5B%5D=1267588
